CO(GT),PT08.S1(CO),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,DateTime,CO(GT)_class_t+0,CO(GT)_t+1h,CO(GT)_class_t+1,CO(GT)_t+6h,CO(GT)_class_t+6,CO(GT)_t+12h,CO(GT)_class_t+12,CO(GT)_t+24h,CO(GT)_class_t+24,CO(GT)_t-1h,CO(GT)_t-2h,CO(GT)_t-3h,CO(GT)_roll_mean_3h,CO(GT)_roll_std_3h,CO(GT)_roll_mean_6h,CO(GT)_roll_std_6h,CO(GT)_roll_mean_12h,CO(GT)_roll_std_12h,weekday,month,hour,weekday_sin,weekday_cos,hour_sin,hour_cos
2.6,1360.0,11.9,1046.0,166.0,1056.0,113.0,1692.0,1268.0,13.6,48.9,0.7578,2004-03-10 18:00:00,high,2.0,mid,1.2,low,0.7,low,4.8,high,,,,,,,,,,2,3,18,0.9749279121818236,-0.22252093395631434,-1.0,-1.8369701987210297e-16
2.0,1292.0,9.4,955.0,103.0,1174.0,92.0,1559.0,972.0,13.3,47.7,0.7255,2004-03-10 19:00:00,mid,2.2,mid,1.0,low,1.1,low,6.9,high,2.6,,,,,,,,,2,3,19,0.9749279121818236,-0.22252093395631434,-0.9659258262890684,0.2588190451025203
2.2,1402.0,9.0,939.0,131.0,1140.0,114.0,1555.0,1074.0,11.9,54.0,0.7502,2004-03-10 20:00:00,mid,2.2,mid,0.9,low,2.0,mid,6.1,high,2.0,2.6,,2.266666666666667,0.3055050463303892,,,,,2,3,20,0.9749279121818236,-0.22252093395631434,-0.8660254037844386,0.5000000000000001
2.2,1376.0,9.2,948.0,172.0,1092.0,122.0,1584.0,1203.0,11.0,60.0,0.7867,2004-03-10 21:00:00,mid,1.6,mid,0.6,low,2.2,mid,3.9,high,2.2,2.0,2.6,2.1333333333333333,0.11547005383792451,,,,,2,3,21,0.9749279121818236,-0.22252093395631434,-0.7071067811865477,0.7071067811865474
1.6,1272.0,6.5,836.0,131.0,1205.0,116.0,1490.0,1110.0,11.2,59.6,0.7888,2004-03-10 22:00:00,mid,1.2,low,,high,1.7,mid,1.5,mid,2.2,2.2,2.0,2.0000000000000004,0.34641016151377524,,,,,2,3,22,0.9749279121818236,-0.22252093395631434,-0.5000000000000004,0.8660254037844384
1.2,1197.0,4.7,750.0,89.0,1337.0,96.0,1393.0,949.0,11.2,59.2,0.7848,2004-03-10 23:00:00,low,1.2,low,0.7,low,1.5,mid,1.0,low,1.6,2.2,2.2,1.6666666666666667,0.5033222956847164,1.9666666666666668,0.496655480858378,,,2,3,23,0.9749279121818236,-0.22252093395631434,-0.25881904510252157,0.9659258262890681
1.2,1185.0,3.6,690.0,62.0,1462.0,77.0,1333.0,733.0,11.3,56.8,0.7603,2004-03-11 00:00:00,low,1.0,low,0.7,low,1.6,mid,1.7,mid,1.2,1.6,2.2,1.3333333333333333,0.23094010767584908,1.7333333333333334,0.4676180777800049,,,3,3,0,0.43388373911755823,-0.900968867902419,0.0,1.0
1.0,1136.0,3.3,672.0,62.0,1453.0,76.0,1333.0,730.0,10.7,60.0,0.7702,2004-03-11 01:00:00,low,0.9,low,1.1,low,1.9,mid,1.9,mid,1.2,1.2,1.6,1.1333333333333333,0.11547005383792179,1.5666666666666667,0.5278888771954442,,,3,3,1,0.43388373911755823,-0.900968867902419,0.25881904510252074,0.9659258262890683
0.9,1094.0,2.3,609.0,45.0,1579.0,60.0,1276.0,620.0,10.7,59.7,0.7648,2004-03-11 02:00:00,low,0.6,low,2.0,mid,2.9,high,1.4,low,1.0,1.2,1.2,1.0333333333333334,0.15275252316519192,1.3499999999999999,0.4806245936279167,,,3,3,2,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387
0.6,1010.0,1.7,561.0,,1705.0,,1235.0,501.0,10.3,60.2,0.7517,2004-03-11 03:00:00,low,,high,2.2,mid,2.2,mid,0.8,low,0.9,1.0,1.2,0.8333333333333334,0.20816659994661116,1.0833333333333333,0.3371448748930744,,,3,3,3,0.43388373911755823,-0.900968867902419,0.7071067811865475,0.7071067811865476
