CO(GT),PT08.S1(CO),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,CO(GT)_t+1h,CO(GT)_t+6h,CO(GT)_t+12h,CO(GT)_t+24h,CO(GT)_t-1h,CO(GT)_t-2h,CO(GT)_t-3h,CO(GT)_roll_mean_3h,CO(GT)_roll_std_3h,CO(GT)_roll_mean_6h,CO(GT)_roll_std_6h,CO(GT)_roll_mean_12h,CO(GT)_roll_std_12h,weekday,month,hour,weekday_sin,weekday_cos,hour_sin,hour_cos
2.6,1360.0,11.9,1046.0,166.0,1056.0,113.0,1692.0,1268.0,13.6,48.9,0.7578,2.0,1.2,0.7,4.8,2.6,2.6,2.6,2.266666666666667,0.3055050463303892,1.9666666666666668,0.496655480858378,1.725,0.6552237646927819,2,3,18,0.9749279121818236,-0.2225209339563143,-1.0,-1.8369701987210294e-16
2.0,1292.0,9.4,955.0,103.0,1174.0,92.0,1559.0,972.0,13.3,47.7,0.7255,2.2,1.0,1.1,6.9,2.6,2.6,2.6,2.266666666666667,0.3055050463303892,1.9666666666666668,0.496655480858378,1.725,0.6552237646927819,2,3,19,0.9749279121818236,-0.2225209339563143,-0.9659258262890684,0.2588190451025203
2.2,1402.0,9.0,939.0,131.0,1140.0,114.0,1555.0,1074.0,11.9,54.0,0.7502,2.2,0.9,2.0,6.1,2.0,2.6,2.6,2.266666666666667,0.3055050463303892,1.9666666666666668,0.496655480858378,1.725,0.6552237646927819,2,3,20,0.9749279121818236,-0.2225209339563143,-0.8660254037844386,0.5000000000000001
2.2,1376.0,9.2,948.0,172.0,1092.0,122.0,1584.0,1203.0,11.0,60.0,0.7867,1.6,0.6,2.2,3.9,2.2,2.0,2.6,2.1333333333333333,0.1154700538379245,1.9666666666666668,0.496655480858378,1.725,0.6552237646927819,2,3,21,0.9749279121818236,-0.2225209339563143,-0.7071067811865477,0.7071067811865474
1.6,1272.0,6.5,836.0,131.0,1205.0,116.0,1490.0,1110.0,11.2,59.6,0.7888,1.2,0.6,1.7,1.5,2.2,2.2,2.0,2.0000000000000004,0.3464101615137752,1.9666666666666668,0.496655480858378,1.725,0.6552237646927819,2,3,22,0.9749279121818236,-0.2225209339563143,-0.5000000000000004,0.8660254037844384
1.2,1197.0,4.7,750.0,89.0,1337.0,96.0,1393.0,949.0,11.2,59.2,0.7848,1.2,0.7,1.5,1.0,1.6,2.2,2.2,1.6666666666666667,0.5033222956847164,1.9666666666666668,0.496655480858378,1.725,0.6552237646927819,2,3,23,0.9749279121818236,-0.2225209339563143,-0.2588190451025215,0.965925826289068
1.2,1185.0,3.6,690.0,62.0,1462.0,77.0,1333.0,733.0,11.3,56.8,0.7603,1.0,0.7,1.6,1.7,1.2,1.6,2.2,1.3333333333333333,0.230940107675849,1.7333333333333334,0.4676180777800049,1.725,0.6552237646927819,3,3,0,0.4338837391175582,-0.900968867902419,0.0,1.0
1.0,1136.0,3.3,672.0,62.0,1453.0,76.0,1333.0,730.0,10.7,60.0,0.7702,0.9,1.1,1.9,1.9,1.2,1.2,1.6,1.1333333333333333,0.1154700538379217,1.5666666666666669,0.5278888771954442,1.725,0.6552237646927819,3,3,1,0.4338837391175582,-0.900968867902419,0.2588190451025207,0.9659258262890684
0.9,1094.0,2.3,609.0,45.0,1579.0,60.0,1276.0,620.0,10.7,59.7,0.7648,0.6,2.0,2.9,1.4,1.0,1.2,1.2,1.0333333333333334,0.1527525231651919,1.35,0.4806245936279167,1.725,0.6552237646927819,3,3,2,0.4338837391175582,-0.900968867902419,0.4999999999999999,0.8660254037844387
0.6,1010.0,1.7,561.0,45.0,1705.0,60.0,1235.0,501.0,10.3,60.2,0.7517,0.6,2.2,2.2,0.8,0.9,1.0,1.2,0.8333333333333334,0.2081665999466111,1.0833333333333333,0.3371448748930744,1.725,0.6552237646927819,3,3,3,0.4338837391175582,-0.900968867902419,0.7071067811865475,0.7071067811865476
0.6,1011.0,1.3,527.0,21.0,1818.0,34.0,1197.0,445.0,10.1,60.5,0.7465,0.7,1.7,2.2,0.8,0.6,0.9,1.0,0.8333333333333334,0.2081665999466111,1.0833333333333333,0.3371448748930744,1.725,0.6552237646927819,3,3,4,0.4338837391175582,-0.900968867902419,0.8660254037844386,0.5000000000000001
0.7,1066.0,1.1,512.0,16.0,1918.0,28.0,1182.0,422.0,11.0,56.2,0.7366,0.7,1.5,2.9,0.6,0.6,0.6,0.9,0.8333333333333334,0.2081665999466111,1.0833333333333333,0.3371448748930744,1.725,0.6552237646927819,3,3,5,0.4338837391175582,-0.900968867902419,0.9659258262890684,0.2588190451025207
0.7,1052.0,1.6,553.0,34.0,1738.0,48.0,1221.0,472.0,10.5,58.1,0.7353,1.1,1.6,4.8,0.8,0.7,0.6,0.6,0.8333333333333334,0.2081665999466111,1.0833333333333333,0.3371448748930744,1.725,0.6552237646927819,3,3,6,0.4338837391175582,-0.900968867902419,1.0,6.123233995736766e-17
1.1,1144.0,3.2,667.0,98.0,1490.0,82.0,1339.0,730.0,10.2,59.6,0.7417,2.0,1.9,6.9,1.4,0.7,0.7,0.6,0.8333333333333334,0.2309401076758483,1.0833333333333333,0.3371448748930744,1.725,0.6552237646927819,3,3,7,0.4338837391175582,-0.900968867902419,0.9659258262890684,-0.2588190451025206
2.0,1333.0,8.0,900.0,174.0,1136.0,112.0,1517.0,1102.0,10.8,57.4,0.7408,2.2,2.9,6.1,4.4,1.1,0.7,0.7,1.2666666666666666,0.6658328118479385,1.0833333333333333,0.3371448748930744,1.725,0.6552237646927819,3,3,8,0.4338837391175582,-0.900968867902419,0.8660254037844387,-0.4999999999999998
2.2,1351.0,9.5,960.0,129.0,1079.0,101.0,1583.0,1028.0,10.5,60.6,0.7691,1.7,2.2,3.9,4.4,2.0,1.1,0.7,1.7666666666666666,0.5859465277082304,1.0833333333333333,0.3371448748930744,1.725,0.6552237646927819,3,3,9,0.4338837391175582,-0.900968867902419,0.7071067811865476,-0.7071067811865475
1.7,1233.0,6.3,827.0,112.0,1218.0,98.0,1446.0,860.0,10.8,58.4,0.7552,1.5,2.2,1.5,3.1,2.2,2.0,1.1,1.9666666666666668,0.2516611478423557,1.4,0.6572670690061992,1.725,0.6552237646927819,3,3,10,0.4338837391175582,-0.900968867902419,0.4999999999999999,-0.8660254037844387
1.5,1179.0,5.0,762.0,95.0,1328.0,92.0,1362.0,671.0,10.5,57.9,0.7352,1.6,2.9,1.0,2.7,1.7,2.2,2.0,1.8,0.3605551275463972,1.5333333333333334,0.5609515724790033,1.725,0.6552237646927819,3,3,11,0.4338837391175582,-0.900968867902419,0.258819045102521,-0.9659258262890682
