CO(GT),NOx(GT),NO2(GT),C6H6(GT)
2.6,166.0,113.0,11.9
2.0,103.0,92.0,9.4
2.2,131.0,114.0,9.0
2.2,172.0,122.0,9.2
1.6,131.0,116.0,6.5
1.2,89.0,96.0,4.7
1.2,62.0,77.0,3.6
1.0,62.0,76.0,3.3
0.9,45.0,60.0,2.3
0.6,45.0,60.0,1.7
0.6,21.0,34.0,1.3
0.7,16.0,28.0,1.1
0.7,34.0,48.0,1.6
1.1,98.0,82.0,3.2
2.0,174.0,112.0,8.0
2.2,129.0,101.0,9.5
1.7,112.0,98.0,6.3
1.5,95.0,92.0,5.0
1.6,104.0,95.0,5.2
1.9,146.0,112.0,7.3
2.9,207.0,128.0,11.5
2.2,184.0,126.0,8.8
2.2,193.0,131.0,8.3
2.9,243.0,135.0,11.2
4.8,281.0,151.0,20.8
6.9,383.0,172.0,27.4
6.1,351.0,165.0,24.0
3.9,240.0,136.0,12.8
1.5,94.0,85.0,4.7
1.0,47.0,53.0,2.6
1.7,122.0,97.0,5.9
1.9,133.0,110.0,6.4
1.4,82.0,91.0,4.1
0.8,82.0,91.0,1.9
0.8,21.0,32.0,1.1
0.6,30.0,44.0,1.0
0.8,56.0,71.0,1.8
1.4,109.0,104.0,4.4
4.4,307.0,141.0,17.9
4.4,307.0,141.0,22.1
3.1,187.0,122.0,14.0
2.7,216.0,143.0,11.6
2.1,143.0,113.0,10.2
2.5,160.0,116.0,11.0
2.7,163.0,123.0,12.8
2.9,190.0,126.0,14.2
2.8,178.0,120.0,12.7
2.4,150.0,119.0,11.7
3.9,206.0,149.0,19.3
3.7,202.0,145.0,18.2
6.6,340.0,170.0,32.6
4.4,274.0,149.0,20.1
3.5,253.0,139.0,14.3
5.4,300.0,134.0,21.8
2.7,193.0,113.0,9.6
1.9,139.0,97.0,7.4
1.6,83.0,82.0,5.4
1.7,83.0,82.0,5.4
1.7,109.0,83.0,6.2
1.0,62.0,65.0,2.6
1.2,53.0,60.0,2.9
1.5,139.0,77.0,5.1
2.7,256.0,96.0,11.8
3.7,295.0,119.0,15.1
3.2,250.0,126.0,12.9
4.1,296.0,158.0,16.1
3.6,239.0,161.0,14.0
2.8,153.0,124.0,12.3
2.0,118.0,102.0,8.6
2.0,119.0,116.0,9.2
2.5,138.0,124.0,10.2
2.3,148.0,125.0,10.6
3.2,227.0,148.0,15.5
4.2,277.0,165.0,19.6
4.2,279.0,161.0,19.2
4.2,283.0,159.0,18.3
3.1,214.0,143.0,13.1
2.6,172.0,130.0,10.9
2.9,190.0,129.0,11.0
2.8,174.0,119.0,11.9
2.5,128.0,104.0,8.6
2.4,128.0,104.0,9.7
2.4,70.0,82.0,5.2
1.2,53.0,70.0,3.7
1.0,44.0,63.0,2.5
0.9,74.0,67.0,2.4
1.4,101.0,84.0,4.2
1.6,118.0,83.0,6.4
2.2,144.0,98.0,8.6
2.8,176.0,114.0,10.9
2.8,161.0,119.0,10.7
2.0,113.0,104.0,7.5
1.8,103.0,102.0,7.5
1.9,112.0,107.0,8.2
3.0,170.0,129.0,11.9
2.9,180.0,128.0,12.0
2.5,160.0,121.0,12.2
4.6,261.0,157.0,20.6
5.9,325.0,173.0,23.1
3.4,217.0,146.0,14.7
2.1,146.0,121.0,9.0
2.2,152.0,119.0,8.8
1.8,104.0,99.0,7.4
1.8,106.0,93.0,6.9
1.8,108.0,88.0,7.0
1.1,108.0,88.0,4.4
1.1,66.0,71.0,4.0
1.0,88.0,74.0,3.9
1.4,138.0,80.0,6.4
2.2,228.0,89.0,9.7
5.5,360.0,114.0,25.9
8.1,478.0,149.0,36.7
5.8,394.0,157.0,26.6
4.2,319.0,155.0,20.1
3.1,201.0,134.0,14.1
2.9,171.0,119.0,14.9
2.9,159.0,111.0,15.4
2.5,153.0,104.0,12.1
2.3,143.0,99.0,11.5
2.8,156.0,110.0,14.8
6.1,314.0,162.0,32.1
8.0,404.0,187.0,39.2
6.5,320.0,165.0,31.0
4.2,256.0,145.0,19.9
3.2,193.0,125.0,15.3
1.4,89.0,101.0,6.9
2.1,127.0,103.0,11.1
1.2,79.0,88.0,5.4
0.8,43.0,61.0,2.8
0.7,43.0,61.0,2.3
0.7,59.0,59.0,2.6
0.6,38.0,52.0,2.0
0.9,82.0,64.0,3.5
1.3,99.0,70.0,5.1
3.4,263.0,97.0,16.2
3.7,229.0,95.0,19.7
5.3,396.0,150.0,25.1
4.1,314.0,162.0,20.0
3.3,217.0,154.0,18.3
4.0,252.0,161.0,22.3
3.8,263.0,161.0,20.4
2.8,180.0,128.0,14.6
2.9,184.0,129.0,16.6
2.9,190.0,133.0,15.8
3.4,184.0,139.0,17.8
3.9,181.0,137.0,19.1
3.2,166.0,143.0,15.8
5.1,317.0,177.0,24.9
2.6,184.0,138.0,13.5
1.7,130.0,117.0,9.1
1.7,132.0,107.0,8.6
1.2,95.0,90.0,5.4
0.9,70.0,79.0,4.1
0.7,70.0,79.0,2.6
0.7,54.0,60.0,1.9
0.5,28.0,40.0,1.6
0.5,46.0,53.0,1.9
1.6,160.0,84.0,7.5
4.1,320.0,108.0,21.4
6.6,377.0,127.0,36.4
4.3,280.0,134.0,21.3
2.9,221.0,135.0,15.4
2.5,210.0,142.0,12.5
2.8,204.0,153.0,15.1
2.6,161.0,123.0,13.7
2.0,135.0,104.0,10.4
2.9,186.0,129.0,15.2
2.5,147.0,114.0,12.3
5.0,299.0,158.0,27.0
7.6,411.0,194.0,38.4
6.7,347.0,182.0,35.1
5.7,336.0,180.0,27.2
2.8,202.0,136.0,15.0
2.6,178.0,127.0,15.7
2.3,154.0,116.0,13.0
1.4,92.0,107.0,8.1
1.0,61.0,88.0,5.5
0.7,61.0,88.0,3.6
0.7,60.0,78.0,2.9
0.6,37.0,57.0,2.5
0.7,68.0,71.0,3.0
1.5,139.0,85.0,7.7
4.7,339.0,124.0,23.3
6.6,421.0,151.0,35.8
4.5,349.0,150.0,21.3
2.8,224.0,152.0,14.3
2.2,171.0,139.0,12.5
2.2,149.0,133.0,12.2
2.3,137.0,126.0,13.1
2.2,149.0,128.0,14.4
2.8,172.0,169.0,16.8
2.7,166.0,149.0,14.5
3.7,214.0,156.0,21.5
5.1,280.0,168.0,26.4
5.1,276.0,176.0,26.0
3.2,178.0,135.0,14.1
2.1,129.0,121.0,10.3
1.7,95.0,99.0,8.3
2.0,126.0,106.0,8.9
1.6,103.0,96.0,6.6
0.9,48.0,63.0,3.6
0.7,48.0,63.0,2.5
0.7,20.0,32.0,1.8
0.5,18.0,28.0,1.3
0.7,56.0,61.0,2.3
1.5,115.0,99.0,6.7
4.8,320.0,157.0,22.8
6.2,357.0,166.0,31.3
4.0,253.0,149.0,19.2
3.3,218.0,135.0,16.4
2.8,192.0,127.0,14.0
3.0,176.0,122.0,15.3
3.3,198.0,135.0,16.7
3.5,212.0,139.0,19.0
4.0,249.0,147.0,19.4
4.6,270.0,158.0,20.9
4.1,231.0,146.0,20.2
4.5,251.0,144.0,21.7
3.9,210.0,138.0,19.8
4.0,249.0,143.0,16.7
2.2,143.0,116.0,9.1
2.1,127.0,109.0,8.3
1.7,104.0,92.0,5.8
1.6,86.0,83.0,5.2
1.3,74.0,81.0,4.1
1.3,74.0,81.0,3.4
1.3,44.0,55.0,2.9
0.8,42.0,53.0,3.1
0.8,63.0,67.0,2.5
1.1,115.0,91.0,4.3
2.1,170.0,113.0,8.9
2.4,147.0,102.0,10.5
2.6,166.0,107.0,12.5
2.8,195.0,113.0,12.3
2.6,182.0,108.0,11.7
2.6,168.0,105.0,11.7
2.1,125.0,93.0,9.3
1.7,95.0,87.0,7.6
1.6,79.0,76.0,6.7
2.1,119.0,94.0,9.7
2.3,142.0,110.0,12.4
3.5,215.0,136.0,16.6
3.9,229.0,139.0,16.4
3.3,206.0,125.0,13.7
2.3,147.0,111.0,9.9
2.1,122.0,97.0,8.9
2.8,175.0,107.0,10.6
2.1,133.0,90.0,7.4
1.6,89.0,84.0,6.2
1.6,89.0,84.0,6.5
1.6,85.0,87.0,5.8
1.1,55.0,66.0,4.0
0.7,24.0,36.0,2.1
0.8,72.0,62.0,3.6
1.2,122.0,91.0,4.4
1.4,111.0,89.0,5.4
1.7,123.0,93.0,7.1
1.8,106.0,81.0,7.3
1.8,103.0,82.0,7.6
1.9,102.0,80.0,6.8
1.3,48.0,48.0,4.6
1.6,63.0,61.0,8.4
1.9,98.0,89.0,6.9
2.3,132.0,105.0,9.0
3.8,173.0,116.0,15.1
3.5,185.0,119.0,12.6
4.3,266.0,144.0,15.1
2.8,188.0,123.0,9.9
1.9,122.0,105.0,8.0
1.9,112.0,93.0,7.9
1.7,93.0,86.0,6.1
