DateTime,T,RH,AH,CO(GT),weekday
2005-01-08 20:00:00,12.6,65.2,0.9474,5.5,Saturday
2005-01-17 18:00:00,9.2,39.3,0.4573,8.6,Monday
2005-01-17 19:00:00,7.8,48.1,0.5115,8.7,Monday
2005-01-18 10:00:00,5.6,52.9,0.4841,5.8,Tuesday
2005-01-21 21:00:00,9.4,69.1,0.815,6.4,Friday
2005-02-02 09:00:00,2.8,64.2,0.4859,6.7,Wednesday
2005-02-03 09:00:00,2.1,62.2,0.4491,5.6,Thursday
2005-02-03 18:00:00,12.2,44.8,0.6342,6.7,Thursday
2005-02-03 19:00:00,10.3,52.4,0.6578,6.4,Thursday
2005-02-10 20:00:00,,,,8.4,Thursday
2005-02-11 19:00:00,,,,7.1,Friday
2005-02-21 20:00:00,5.5,79.8,0.7261,6.3,Monday
2005-02-22 09:00:00,4.6,80.3,0.6889,5.4,Tuesday
2005-03-02 20:00:00,6.1,34.0,0.3237,5.3,Wednesday
2005-03-08 09:00:00,4.1,47.9,0.3959,5.5,Tuesday
2005-03-08 20:00:00,9.5,39.0,0.4644,5.9,Tuesday
2005-03-09 09:00:00,5.7,52.5,0.4851,6.0,Wednesday
2005-03-15 20:00:00,16.4,41.9,0.7759,7.4,Tuesday
2005-03-18 09:00:00,12.0,51.0,0.7131,5.4,Friday
2005-03-21 09:00:00,14.7,59.8,0.9928,6.1,Monday
2005-03-23 20:00:00,19.5,35.6,0.7978,7.2,Wednesday
2005-03-24 19:00:00,20.1,43.2,1.0051,5.9,Thursday
2005-03-24 20:00:00,18.8,49.1,1.0538,7.5,Thursday
