DateTime,T,RH,AH,NO2(GT),weekday
2005-01-31 10:00:00,6.6,34.4,0.3359,283.0,Monday
2005-01-31 19:00:00,8.6,29.8,0.3344,285.0,Monday
2005-01-31 20:00:00,7.3,36.8,0.3771,282.0,Monday
2005-02-03 09:00:00,2.1,62.2,0.4491,309.0,Thursday
2005-02-03 10:00:00,5.1,50.8,0.4499,322.0,Thursday
2005-02-03 11:00:00,8.5,39.7,0.4425,333.0,Thursday
2005-02-04 08:00:00,2.3,70.9,0.5182,306.0,Friday
2005-02-04 09:00:00,4.4,61.1,0.5176,301.0,Friday
2005-02-05 08:00:00,2.0,63.6,0.4564,283.0,Saturday
2005-02-05 09:00:00,4.1,52.7,0.4345,310.0,Saturday
2005-02-07 09:00:00,5.6,40.5,0.3704,281.0,Monday
2005-02-10 09:00:00,,,,289.0,Thursday
2005-02-11 09:00:00,,,,296.0,Friday
2005-02-11 10:00:00,,,,291.0,Friday
2005-02-11 11:00:00,,,,276.0,Friday
2005-02-11 15:00:00,,,,312.0,Friday
2005-02-11 16:00:00,,,,340.0,Friday
2005-02-11 17:00:00,,,,326.0,Friday
2005-02-11 18:00:00,,,,284.0,Friday
2005-02-11 19:00:00,,,,289.0,Friday
2005-02-16 08:00:00,5.2,48.3,0.4304,288.0,Wednesday
2005-02-21 20:00:00,5.5,79.8,0.7261,283.0,Monday
2005-02-22 08:00:00,4.1,82.7,0.682,295.0,Tuesday
