DateTime,T,RH,AH,NOx(GT),weekday
2005-01-05 11:00:00,11.2,61.9,0.8226,992.0,Wednesday
2005-01-05 12:00:00,12.8,60.1,0.882,1130.0,Wednesday
2005-01-17 18:00:00,9.2,39.3,0.4573,1216.0,Monday
2005-01-17 19:00:00,7.8,48.1,0.5115,1230.0,Monday
2005-01-18 10:00:00,5.6,52.9,0.4841,1049.0,Tuesday
2005-01-18 12:00:00,5.1,64.3,0.5697,999.0,Tuesday
2005-01-18 13:00:00,5.5,66.1,0.601,1022.0,Tuesday
2005-01-18 14:00:00,5.5,69.3,0.6331,1023.0,Tuesday
2005-01-18 15:00:00,5.0,75.5,0.6667,1065.0,Tuesday
2005-01-18 16:00:00,5.2,76.2,0.6796,1098.0,Tuesday
2005-01-18 17:00:00,5.3,77.4,0.6954,1099.0,Tuesday
2005-01-21 20:00:00,10.4,64.4,0.8123,983.0,Friday
2005-01-21 21:00:00,9.4,69.1,0.815,1200.0,Friday
2005-01-21 22:00:00,8.9,71.0,0.8115,1028.0,Friday
2005-01-31 20:00:00,7.3,36.8,0.3771,984.0,Monday
2005-02-01 11:00:00,5.8,54.1,0.502,985.0,Tuesday
2005-02-01 12:00:00,7.3,50.8,0.5226,1017.0,Tuesday
2005-02-10 20:00:00,,,,1028.0,Thursday
2005-02-11 15:00:00,,,,1054.0,Friday
2005-02-11 16:00:00,,,,1218.0,Friday
2005-02-11 17:00:00,,,,1227.0,Friday
2005-02-11 18:00:00,,,,1061.0,Friday
2005-02-11 19:00:00,,,,1075.0,Friday
